id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,alley,lot_shape,land_contour,lot_config,land_slope,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,total_sq_ft,total_baths,additional_area,house_type_1Fam,house_type_Duplex,house_type_Twnhs,neighborhood_BrkSide,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_IDOTRR,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,bsmt_qual_2,bsmt_sf,bsmt_cond_2,bsmt_sf_x_cond2,bsmt_sf_x_qual_2,exter_qual2,exter_cond2,remodel_year,remodel_yn,fireplace_yn,pool_yn,Basement_yn,garage_yn,house_sf_x_overall_qual,overall_qual_x_overall_cond
1044,527451290,160,RM,21.0,1680,NA,Reg,Lvl,Inside,Gtl,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,NA,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,7,2008,COD,85400.0,1470.0,1.5,264.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,483.0,3,1449.0,1449.0,3,3,0,0,0,0,1,1,8820.0,30
2752,906380150,20,RL,64.0,7488,NA,IR1,Lvl,Inside,Gtl,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,Ex,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,NA,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,NA,NA,0,2,2006,WD ,183600.0,2416.0,2.0,632.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1208.0,3,3624.0,4832.0,4,3,0,0,0,0,1,1,16912.0,35
807,906226060,70,RL,120.0,26400,NA,Reg,Bnk,FR2,Gtl,Feedr,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,NA,NA,0,6,2009,WD ,131000.0,2016.0,1.0,576.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,4,3,127,1,1,0,0,1,10080.0,35
1177,533236070,160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,Ex,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,NA,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,NA,NA,0,12,2008,ConLD,200000.0,2567.0,3.5,480.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,960.0,3,2880.0,3840.0,4,3,1,1,0,0,1,1,20536.0,40
1480,907418040,20,RL,74.0,9627,NA,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,Ex,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,NA,NA,0,6,2008,WD ,193000.0,2712.0,2.0,610.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1351.0,3,4053.0,5404.0,4,3,0,0,0,0,1,1,18984.0,35
324,923202105,20,RL,93.0,10114,NA,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,3,2010,WD ,173500.0,2860.0,2.0,624.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1430.0,3,4290.0,7150.0,3,3,1,1,0,0,1,1,14300.0,25
1311,902301140,70,RM,34.0,4571,Grvl,Reg,Lvl,Inside,Gtl,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,Fa,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,NA,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,NA,NA,0,5,2008,COD,98000.0,1968.0,1.0,513.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,624.0,3,1872.0,1872.0,3,3,34,1,0,0,1,1,9840.0,25
770,905101490,20,RL,80.0,8816,NA,Reg,Lvl,Corner,Gtl,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,TA,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,MnPrv,NA,0,6,2009,WD ,139000.0,2242.0,2.0,480.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1121.0,3,3363.0,3363.0,3,3,0,0,0,0,1,1,11210.0,30
2063,905107140,20,RL,71.0,8197,NA,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,Ex,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,MnPrv,NA,0,4,2007,WD ,143500.0,1945.0,1.5,528.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,660.0,3,1980.0,1980.0,3,3,0,0,1,0,1,1,11670.0,30
69,528458070,60,FV,72.0,8640,NA,Reg,Lvl,Inside,Gtl,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,NA,NA,0,6,2010,Con,215200.0,2303.0,2.5,614.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,756.0,3,2268.0,3024.0,3,3,0,0,0,0,1,1,16121.0,35
2062,905106150,20,RL,109.0,8724,NA,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,Gd,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,5,2007,WD ,129000.0,1788.0,1.0,450.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,894.0,3,2682.0,3576.0,3,3,0,0,1,0,1,1,8940.0,25
351,527131030,120,RL,40.0,5664,NA,IR1,Lvl,Inside,Gtl,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,NA,NA,0,10,2009,WD ,278000.0,3160.0,3.0,499.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1501.0,3,4503.0,6004.0,4,3,0,0,1,0,1,1,25280.0,40
2393,528142010,60,RL,103.0,12867,NA,IR1,Lvl,Corner,Gtl,Norm,1Fam,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,Ex,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,NA,NA,0,7,2006,New,344133.0,3462.0,2.5,575.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1209.0,3,3627.0,6045.0,4,3,1,1,1,0,1,1,27696.0,40
12,527165230,20,RL,64.0,7980,NA,IR1,Lvl,Inside,Gtl,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,NA,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,GdPrv,Shed,500,3,2010,WD ,185000.0,2355.0,3.0,420.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1168.0,3,3504.0,4672.0,3,4,15,1,0,0,1,1,14130.0,42
2339,527250040,190,RL,100.0,34650,NA,Reg,Bnk,Inside,Gtl,Norm,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,TA,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,NA,NA,0,1,2006,WD ,145000.0,2112.0,2.0,572.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1056.0,3,3168.0,3168.0,3,3,0,0,0,0,1,1,10560.0,25
624,535104120,20,RL,92.0,10573,NA,IR1,Lvl,Corner,Gtl,Norm,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,Ex,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,GdPrv,NA,0,4,2009,WD ,187500.0,2906.0,3.0,530.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1453.0,3,4359.0,4359.0,3,3,0,0,1,0,1,1,17436.0,36
86,532376160,20,RL,65.0,8450,NA,Reg,Lvl,Inside,Gtl,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,MnPrv,NA,0,4,2010,WD ,138500.0,1788.0,2.0,336.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,894.0,3,2682.0,2682.0,3,4,44,1,1,0,1,1,8940.0,40
1534,909277040,50,RL,70.0,11700,Grvl,IR1,HLS,Inside,Mod,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,Ex,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,NA,NA,0,7,2008,WD ,198000.0,2880.0,2.0,240.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,942.0,3,2826.0,2826.0,3,3,58,1,1,0,1,1,14400.0,30
2243,911103060,190,C (all),75.0,8250,NA,Reg,Lvl,Inside,Gtl,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,957.0,Fa,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,NA,NA,0.0,NA,0.0,0.0,NA,NA,N,0,0,133,0,0,0,NA,NA,0,6,2007,WD ,119600.0,2948.0,2.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,957.0,3,2871.0,2871.0,3,4,111,1,0,0,1,0,14740.0,30
1957,535450190,50,RL,60.0,8064,NA,Reg,Lvl,Corner,Gtl,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,MnPrv,Shed,2000,7,2007,WD ,122900.0,1596.0,1.0,576.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,672.0,3,2016.0,2016.0,3,4,57,1,1,0,1,1,7980.0,35
380,527355150,20,RL,80.0,9600,NA,Reg,Lvl,Inside,Gtl,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,TA,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,MnPrv,NA,0,7,2009,WD ,278000.0,5048.0,3.5,542.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2524.0,3,7572.0,10096.0,4,3,0,0,1,0,1,1,40384.0,40
2860,909276010,70,RL,70.0,11435,NA,IR1,HLS,Corner,Mod,Norm,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,6,2006,WD ,230000.0,2309.0,1.0,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,792.0,3,2376.0,3168.0,3,3,21,1,1,0,1,1,18472.0,56
2517,533250130,120,RL,30.0,9549,NA,IR1,Lvl,CulDSac,Gtl,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,NA,NA,0,4,2006,WD ,270000.0,2988.0,2.5,481.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1494.0,4,5976.0,5976.0,4,4,1,1,1,0,1,1,23904.0,40
1933,535302070,20,RL,60.0,10950,NA,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,507.0,948.0,TA,Y,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1952.0,Unf,2.0,410.0,TA,TA,N,0,48,0,0,0,0,NA,NA,0,4,2007,WD ,125000.0,1896.0,1.0,410.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,948.0,3,2844.0,2844.0,3,3,0,0,0,0,1,1,11376.0,36
820,906340110,20,RL,79.0,10637,NA,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,1705.0,Ex,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,0,0,NA,NA,0,9,2009,WD ,297000.0,3423.0,3.0,826.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1705.0,3,5115.0,8525.0,4,3,1,1,1,0,1,1,27384.0,40
